Label	Type	Frame	Begin	End	Mutation	Gene	Product	Score	COGs	COGclassID	ClassDescription	COGprocess
ECK0054	CDS	-2	53416	54702	no	surA	peptidyl-prolyl cis-trans isomerase (PPIase)	428	COG0760	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
ECK0055	CDS	-1	54755	57109	no	imp	exported protein required for envelope biosynthesis and integrity	778	COG1452	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0056	CDS	+1	57364	58179	no	djlA	DnaJ-like protein, membrane anchored	271	COG1076	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
ECK0059	CDS	-1	59687	60346	no	rluA	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	219	COG0564	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
ECK0060	CDS	-2	60358	63264	no	hepA	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	968	COG0553	K	Transcription	INFORMATION STORAGE AND PROCESSING
ECK0060	CDS	-2	60358	63264	no	hepA	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	968	COG0553	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
ECK0061	CDS	-3	63429	65780	no	polB	DNA polymerase II	779	COG0417	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
ECK0062	CDS	-1	65855	66550	no	araD	L-ribulose-5-phosphate 4-epimerase	231	COG0235	G	Carbohydrate transport and metabolism	METABOLISM
ECK0063	CDS	-2	66835	68337	no	araA	L-arabinose isomerase	494	COG2160	G	Carbohydrate transport and metabolism	METABOLISM
ECK0064	CDS	-1	68348	70048	no	araB	L-ribulokinase	541	COG1069	C	Energy production and conversion	METABOLISM
ECK0065	CDS	+1	70387	71265	no	araC	DNA-binding transcriptional dual regulator	279	COG2207	K	Transcription	INFORMATION STORAGE AND PROCESSING
ECK0066	CDS	+2	71351	72115	no	yabI	conserved hypothetical protein; putative inner membrane protein	203	COG0586	S	Function unknown	POORLY CHARACTERIZED
ECK0066	CDS	+2	71351	72115	no	yabI	conserved hypothetical protein; putative inner membrane protein	45	COG4214	G	Carbohydrate transport and metabolism	METABOLISM
ECK0067	CDS	-2	72229	72927	no	thiQ	thiamin transporter subunit ; ATP-binding component of ABC superfamily	224	COG3840	H	Coenzyme transport and metabolism	METABOLISM
ECK0068	CDS	-1	72911	74521	no	thiP	fused thiamin transporter subunits of ABC superfamily: membrane components	528	COG1178	P	Inorganic ion transport and metabolism	METABOLISM
ECK0069	CDS	-2	74497	75480	no	tbpA	thiamin transporter subunit ; periplasmic-binding component of ABC superfamily	324	COG4143	H	Coenzyme transport and metabolism	METABOLISM
ECK0070	CDS	-1	75644	77299	no	sgrR	DNA-binding transcriptional regulator	536	COG4533	R	General function prediction only	POORLY CHARACTERIZED
ECK0072	CDS	+2	77621	78799	no	setA	broad specificity sugar efflux system	391	COG0477	E	Amino acid transport and metabolism	METABOLISM
ECK0072	CDS	+2	77621	78799	no	setA	broad specificity sugar efflux system	391	COG0477	G	Carbohydrate transport and metabolism	METABOLISM
ECK0072	CDS	+2	77621	78799	no	setA	broad specificity sugar efflux system	391	COG0477	P	Inorganic ion transport and metabolism	METABOLISM
ECK0072	CDS	+2	77621	78799	no	setA	broad specificity sugar efflux system	391	COG0477	R	General function prediction only	POORLY CHARACTERIZED
ECK0073	CDS	-1	78848	79453	no	leuD	3-isopropylmalate isomerase subunit	201	COG0066	E	Amino acid transport and metabolism	METABOLISM
ECK0074	CDS	-3	79464	80864	no	leuC	3-isopropylmalate isomerase subunit, dehydratase component	466	COG0065	E	Amino acid transport and metabolism	METABOLISM
ECK0075	CDS	-1	80867	81958	no	leuB	3-isopropylmalate dehydrogenase	363	COG0473	C	Energy production and conversion	METABOLISM
ECK0075	CDS	-1	80867	81958	no	leuB	3-isopropylmalate dehydrogenase	363	COG0473	E	Amino acid transport and metabolism	METABOLISM
ECK0076	CDS	-2	81958	83529	no	leuA	2-isopropylmalate synthase	523	COG0119	E	Amino acid transport and metabolism	METABOLISM
ECK0078	CDS	+2	84368	85312	no	leuO	DNA-binding transcriptional activator	314	COG0583	K	Transcription	INFORMATION STORAGE AND PROCESSING
ECK0079	CDS	+1	85630	87354	no	ilvI	acetolactate synthase III, large subunit	574	COG0028	E	Amino acid transport and metabolism	METABOLISM
ECK0079	CDS	+1	85630	87354	no	ilvI	acetolactate synthase III, large subunit	574	COG0028	H	Coenzyme transport and metabolism	METABOLISM
ECK0080	CDS	+3	87357	87848	no	ilvH	acetolactate synthase III, thiamin-dependent, small subunit	163	COG0440	E	Amino acid transport and metabolism	METABOLISM
ECK0081	CDS	+2	88028	89032	no	fruR	DNA-binding transcriptional dual regulator	334	COG1609	K	Transcription	INFORMATION STORAGE AND PROCESSING
ECK0082	CDS	+3	89634	90092	no	mraZ	conserved hypothetical protein	152	COG2001	S	Function unknown	POORLY CHARACTERIZED
ECK0083	CDS	+1	90094	91035	no	mraW	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	313	COG0275	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0084	CDS	+3	91032	91397	no	ftsL	membrane bound cell division protein at septum containing leucine zipper motif	98	COG3116	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
ECK0085	CDS	+3	91413	93179	no	ftsI	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	587	COG0768	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0086	CDS	+1	93166	94653	no	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	493	COG0769	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0087	CDS	+3	94650	96008	no	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	452	COG0770	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0088	CDS	+2	96002	97084	no	mraY	phospho-N-acetylmuramoyl-pentapeptide transferase	360	COG0472	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0089	CDS	+1	97087	98403	no	murD	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	438	COG0771	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0090	CDS	+3	98403	99647	no	ftsW	integral membrane protein involved in stabilizing FstZ ring during cell division	383	COG0772	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
ECK0091	CDS	+2	99644	100711	no	murG	N-acetylglucosaminyl transferase	355	COG0707	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0092	CDS	+1	100765	102240	no	murC	UDP-N-acetylmuramate:L-alanine ligase	490	COG0773	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0093	CDS	+2	102233	103153	no	ddlB	D-alanine:D-alanine ligase	306	COG1181	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0094	CDS	+3	103155	103985	no	ftsQ	membrane anchored protein involved in growth of wall at septum	248	COG1589	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0095	CDS	+2	103982	105244	no	ftsA	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	420	COG0849	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
ECK0096	CDS	+2	105305	106456	no	ftsZ	GTP-binding tubulin-like cell division protein	383	COG0206	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
ECK0097	CDS	+3	106557	107474	no	lpxC	UDP-3-O-acyl N-acetylglucosamine deacetylase	305	COG0774	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0099	CDS	+3	108279	110984	no	secA	preprotein translocase subunit, ATPase	901	COG0653	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
ECK0100	CDS	+2	111044	111433	no	mutT	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	129	COG0494	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
ECK0100	CDS	+2	111044	111433	no	mutT	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	129	COG0494	R	General function prediction only	POORLY CHARACTERIZED
ECK0101	CDS	-2	111649	111846	no	yacG	conserved hypothetical protein	62	COG3024	S	Function unknown	POORLY CHARACTERIZED
ECK0102	CDS	-2	111856	112599	no	yacF	conserved hypothetical protein	241	COG4582	S	Function unknown	POORLY CHARACTERIZED
ECK0103	CDS	-3	112599	113219	no	coaE	dephospho-CoA kinase	206	COG0237	H	Coenzyme transport and metabolism	METABOLISM
ECK0104	CDS	+2	113444	114487	no	guaC	GMP reductase	347	COG0516	F	Nucleotide transport and metabolism	METABOLISM
ECK0105	CDS	-3	114522	115724	no	hofC	assembly protein in type IV pilin biogenesis, transmembrane protein	398	COG1459	N	Cell motility	CELLULAR PROCESSES AND SIGNALING
ECK0105	CDS	-3	114522	115724	no	hofC	assembly protein in type IV pilin biogenesis, transmembrane protein	398	COG1459	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
ECK0106	CDS	-2	115714	117099	no	hofB	putative protein transport with triphosphate hydrolase domain	447	COG2804	N	Cell motility	CELLULAR PROCESSES AND SIGNALING
ECK0106	CDS	-2	115714	117099	no	hofB	putative protein transport with triphosphate hydrolase domain	447	COG2804	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
ECK0107	CDS	-2	117109	117549	no	ppdD	putative major pilin subunit	146	COG4969	N	Cell motility	CELLULAR PROCESSES AND SIGNALING
ECK0107	CDS	-2	117109	117549	no	ppdD	putative major pilin subunit	146	COG4969	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
ECK0108	CDS	-1	117752	118645	no	nadC	quinolinate phosphoribosyltransferase	282	COG0157	H	Coenzyme transport and metabolism	METABOLISM
ECK0109	CDS	+2	118733	119284	no	ampD	N-acetyl-anhydromuranmyl-L-alanine amidase	183	COG3023	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
ECK0110	CDS	+1	119281	120135	no	ampE	conserved hypothetical protein; putative inner membrane protein	175	COG3725	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
ECK0111	CDS	-2	120178	121551	no	aroP	aromatic amino acid transporter	454	COG1113	E	Amino acid transport and metabolism	METABOLISM
ECK0112	CDS	+1	122092	122856	no	pdhR	DNA-binding transcriptional dual regulator	252	COG2186	K	Transcription	INFORMATION STORAGE AND PROCESSING
ECK0113	CDS	+2	123017	125680	no	aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	887	COG2609	C	Energy production and conversion	METABOLISM
ECK0114	CDS	+1	125695	127587	no	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	630	COG0508	C	Energy production and conversion	METABOLISM
ECK0115	CDS	+1	127912	129336	no	lpd	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	474	COG1249	C	Energy production and conversion	METABOLISM
ECK0116	CDS	-1	129407	131260	no	yacH	hypothetical protein	35	COG0523	R	General function prediction only	POORLY CHARACTERIZED
ECK0117	CDS	+2	131615	134212	no	acnB	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	865	COG1049	C	Energy production and conversion	METABOLISM
ECK0118	CDS	+3	134388	134750	no	yacL	conserved hypothetical protein	118	COG3112	S	Function unknown	POORLY CHARACTERIZED
ECK0119	CDS	-2	134788	135582	no	speD	S-adenosylmethionine decarboxylase	264	COG1586	E	Amino acid transport and metabolism	METABOLISM
ECK0120	CDS	-2	135598	136464	no	speE	spermidine synthase (putrescine aminopropyltransferase)	285	COG0421	E	Amino acid transport and metabolism	METABOLISM
ECK0122	CDS	+1	137083	138633	no	cueO	multicopper oxidase (laccase)	516	COG2132	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
ECK0123	CDS	-2	138835	141225	no	gcd	glucose dehydrogenase	796	COG4993	G	Carbohydrate transport and metabolism	METABOLISM
ECK0124	CDS	+2	141431	141967	no	hpt	hypoxanthine phosphoribosyltransferase	178	COG0634	F	Nucleotide transport and metabolism	METABOLISM
ECK0125	CDS	-3	142008	142670	no	can	carbonic anhydrase	220	COG0288	P	Inorganic ion transport and metabolism	METABOLISM
ECK0126	CDS	+3	142779	143705	no	yadG	putative transporter subunit: ATP-binding component of ABC superfamily	308	COG1131	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
ECK0127	CDS	+2	143702	144472	no	yadH	putative transporter subunit: membrane component of ABC superfamily	256	COG0842	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
ECK0128	CDS	+1	144577	145017	no	yadI	putative PTS Enzyme IIA	127	COG2893	G	Carbohydrate transport and metabolism	METABOLISM
ECK0129	CDS	+1	145081	146310	no	yadE	putative exported polysaccharide deacetylase	251	COG0726	G	Carbohydrate transport and metabolism	METABOLISM
ECK0130	CDS	-2	146314	146694	no	panD	aspartate 1-decarboxylase	126	COG0853	H	Coenzyme transport and metabolism	METABOLISM
ECK0131	CDS	+1	146968	147870	no	yadD	putative transposase	51	COG5464	S	Function unknown	POORLY CHARACTERIZED
ECK0132	CDS	-1	147944	148795	no	panC	pantothenate synthetase	283	COG0414	H	Coenzyme transport and metabolism	METABOLISM
ECK0133	CDS	-2	148807	149601	no	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	264	COG0413	H	Coenzyme transport and metabolism	METABOLISM
ECK0138	CDS	-3	152829	155426	no	htrE	outer membrane usher protein	836	COG3188	N	Cell motility	CELLULAR PROCESSES AND SIGNALING
ECK0138	CDS	-3	152829	155426	no	htrE	outer membrane usher protein	836	COG3188	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
ECK0139	CDS	-2	155461	156201	no	ecpD	periplasmic pilin chaperone	242	COG3121	N	Cell motility	CELLULAR PROCESSES AND SIGNALING
ECK0139	CDS	-2	155461	156201	no	ecpD	periplasmic pilin chaperone	242	COG3121	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
ECK0140	CDS	-1	156299	156883	no	yadN	putative fimbrial-like adhesin exported protein	183	COG3539	N	Cell motility	CELLULAR PROCESSES AND SIGNALING
ECK0140	CDS	-1	156299	156883	no	yadN	putative fimbrial-like adhesin exported protein	183	COG3539	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
ECK0141	CDS	-1	157253	157732	no	folK	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	159	COG0801	H	Coenzyme transport and metabolism	METABOLISM
ECK0142	CDS	-2	157729	159126	no	pcnB	poly(A) polymerase I	453	COG0617	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
ECK0143	CDS	-3	159186	160112	no	yadB	glutamyl-Q tRNA(Asp) synthetase	299	COG0008	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
ECK0144	CDS	-3	160149	160604	no	dksA	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein	142	COG1734	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
ECK0145	CDS	-3	160782	161486	no	sfsA	putative regulator	234	COG1489	R	General function prediction only	POORLY CHARACTERIZED
ECK0146	CDS	-1	161501	162031	no	ligT	2'-5' RNA ligase	172	COG1514	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
ECK0147	CDS	+3	162105	164534	no	hrpB	ATP-dependent (RNA) helicase	808	COG1643	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
ECK0148	CDS	+3	164730	167264	no	mrcB	fused glycosyl transferase ; transpeptidase	785	COG0744	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ECK0149	CDS	+3	167484	169727	no	fhuA	ferrichrome outer membrane transporter	747	COG1629	P	Inorganic ion transport and metabolism	METABOLISM
ECK0150	CDS	+2	169778	170575	no	fhuC	iron-hydroxamate transporter subunit ; ATP-binding component of ABC superfamily	259	COG1120	H	Coenzyme transport and metabolism	METABOLISM
ECK0150	CDS	+2	169778	170575	no	fhuC	iron-hydroxamate transporter subunit ; ATP-binding component of ABC superfamily	259	COG1120	P	Inorganic ion transport and metabolism	METABOLISM
ECK0151	CDS	+1	170575	171465	no	fhuD	iron-hydroxamate transporter subunit ; periplasmic-binding component of ABC superfamily	272	COG0614	P	Inorganic ion transport and metabolism	METABOLISM
ECK0152	CDS	+3	171462	173444	no	fhuB	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components	660	COG0609	P	Inorganic ion transport and metabolism	METABOLISM
ECK0153	CDS	-2	173602	174882	no	hemL	glutamate-1-semialdehyde aminotransferase (aminomutase)	426	COG0001	H	Coenzyme transport and metabolism	METABOLISM
ECK0154	CDS	+3	175107	176528	no	clcA	chloride channel, voltage-gated	468	COG0038	P	Inorganic ion transport and metabolism	METABOLISM
ECK0155	CDS	+3	176610	176954	no	yadR	putative chaperone involved in Fe-S cluster assembly and activation; hesB-like	114	COG0316	S	Function unknown	POORLY CHARACTERIZED
ECK0156	CDS	-2	177001	177624	no	yadS	conserved hypothetical protein; putative inner membrane protein	207	COG2860	S	Function unknown	POORLY CHARACTERIZED
ECK0157	CDS	-1	177662	178462	no	btuF	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily	265	COG0614	P	Inorganic ion transport and metabolism	METABOLISM
ECK0158	CDS	-3	178455	179153	no	pfs	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	232	COG0775	F	Nucleotide transport and metabolism	METABOLISM
ECK0159	CDS	+2	179237	180754	no	dgt	deoxyguanosine triphosphate triphosphohydrolase	498	COG0232	F	Nucleotide transport and metabolism	METABOLISM
ECK0160	CDS	+2	180884	182308	no	degP	serine endoprotease (protease Do), membrane-associated	474	COG0265	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
ECK0161	CDS	+3	182463	183620	no	cdaR	DNA-binding transcriptional activator	377	COG3835	K	Transcription	INFORMATION STORAGE AND PROCESSING
ECK0161	CDS	+3	182463	183620	no	cdaR	DNA-binding transcriptional activator	377	COG3835	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
ECK0162	CDS	-2	183709	184095	no	yaeH	conserved hypothetical protein	59	COG0419	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
ECK0163	CDS	-3	184257	185069	no	yaeI	putative metallophosphoesterase	269	COG1408	R	General function prediction only	POORLY CHARACTERIZED
ECK0164	CDS	-1	185123	185947	no	dapD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	274	COG2171	E	Amino acid transport and metabolism	METABOLISM
ECK0165	CDS	-1	185978	188650	no	glnD	uridylyltransferase	868	COG2844	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
